id,draftYear,rounds
49,1963,4
26,1964,4
51,1965,2
17,1966,4
40,1967,3
8,1968,3
29,1969,10
55,1970,14
21,1971,15
45,1972,11
11,1973,12
35,1974,25
2,1975,18
24,1976,15
48,1977,17
27,1978,22
52,1979,6
16,1980,10
39,1981,11
7,1982,12
30,1983,12
54,1984,12
20,1985,12
43,1986,12
12,1987,12
34,1988,12
1,1989,12
25,1990,12
50,1991,12
15,1992,11
37,1993,11
6,1994,11
28,1995,9
53,1996,9
18,1997,9
42,1998,9
10,1999,9
33,2000,9
56,2001,9
22,2002,9
46,2003,9
13,2004,9
36,2005,7
5,2006,7
38,2007,7
3,2008,7
23,2009,7
47,2010,7
14,2011,7
41,2012,7
4,2013,7
31,2014,7
57,2015,7
19,2016,7
44,2017,7
9,2018,7
32,2019,7
58,2020,7
59,2021,7
60,2022,7
62,2023,7
63,2024,7
64,2025,7
65,2026,7
