id,allStarGameInUse,conferencesInUse,divisionsInUse,endDate,entryDraftInUse,formattedSeasonId,minimumPlayoffMinutesForGoalieStatsLeaders,minimumRegularGamesForGoalieStatsLeaders,nhlStanleyCupOwner,numberOfGames,olympicsParticipation,pointForOTLossInUse,preseasonStartdate,regularSeasonEndDate,rowInUse,seasonOrdinal,startDate,supplementalDraftInUse,tiesInUse,totalPlayoffGames,totalRegularSeasonGames,wildcardInUse
20262027,1,1,1,2027-06-10T00:00:00,1,2026-27,30,1,1,84,0,1,2026-09-19T19:00:00,2027-04-10T00:00:00,1,109,2026-09-29T00:00:00,0,0,0,1344,1
20252026,0,1,1,2026-06-15T00:00:00,1,2025-26,240,25,1,82,1,1,2025-09-20T19:00:00,2026-04-17T00:00:00,1,108,2025-10-07T17:00:00,0,0,82,1312,1
20242025,0,1,1,2025-06-17T00:00:00,1,2024-25,240,25,1,82,0,1,2024-09-21T19:00:00,2025-04-17T21:30:00,1,107,2024-10-04T13:00:00,0,0,86,1312,1
20232024,1,1,1,2024-06-24T00:00:00,1,2023-24,240,25,1,82,0,1,2023-09-23T00:05:00,2024-04-18T22:30:00,1,106,2023-10-10T17:30:00,0,0,88,1312,1
20222023,1,1,1,2023-06-13T17:00:00,1,2022-23,240,25,1,82,0,1,2022-09-24T13:00:00,2023-04-14T20:00:00,1,105,2022-10-07T14:00:00,0,0,88,1312,1
20212022,1,1,1,2022-06-26T00:00:00,1,2021-22,240,25,1,82,1,1,2021-09-25T19:00:00,2022-05-01T14:00:00,1,104,2021-10-12T19:30:00,0,0,89,1312,1
20202021,0,0,1,2021-07-07T20:00:00,1,2020-21,240,17,1,56,0,1,,2021-05-19T15:30:00,1,103,2021-01-13T00:00:00,0,0,84,868,0
20192020,1,1,1,2020-09-28T18:00:00,1,2019-20,240,24,1,82,0,1,2019-09-15T16:30:00,2020-03-11T22:30:00,1,102,2019-10-02T00:00:00,0,0,130,1082,0
20182019,1,1,1,2019-06-12T20:00:00,1,2018-19,240,25,1,82,0,1,2018-09-15T02:30:00,2019-04-06T22:30:00,1,101,2018-10-03T19:00:00,0,0,87,1271,1
20172018,1,1,1,2018-06-07T17:00:00,1,2017-18,240,25,1,82,0,1,2017-09-16T17:00:00,2018-04-08T19:30:00,1,100,2017-10-04T18:00:00,0,0,84,1271,1
20162017,1,1,1,2017-06-11T19:00:00,1,2016-17,240,25,1,82,0,1,2016-09-25T19:00:00,2017-04-09T21:00:00,1,99,2016-10-12T19:00:00,0,0,87,1230,1
20152016,1,1,1,2016-06-12T17:00:00,1,2015-16,240,25,1,82,0,1,2015-09-20T19:00:00,2016-04-10T19:30:00,1,98,2015-10-07T19:00:00,0,0,91,1230,1
20142015,1,1,1,2015-06-15T19:00:00,1,2014-15,240,25,1,82,0,1,2014-09-21T13:30:00,2015-04-11T22:00:00,1,97,2014-10-08T19:00:00,0,0,89,1230,1
20132014,0,1,1,2014-06-13T17:00:00,1,2013-14,240,25,1,82,1,1,2013-09-14T19:00:00,2014-04-13T21:00:00,1,96,2013-10-01T19:00:00,0,0,93,1230,1
20122013,0,1,1,2013-06-24T20:00:00,1,2012-13,240,14,1,48,0,1,,2013-04-28T19:00:00,1,95,2013-01-19T12:00:00,0,0,86,720,0
20112012,1,1,1,2012-06-11T17:00:00,1,2011-12,240,25,1,82,0,1,2011-09-19T19:00:00,2012-04-07T22:30:00,1,94,2011-10-06T19:00:00,0,0,86,1230,0
20102011,1,1,1,2011-06-15T17:00:00,1,2010-11,240,25,1,82,0,1,2010-09-21T22:00:00,2011-04-10T18:00:00,1,93,2010-10-07T19:00:00,0,0,89,1230,0
20092010,1,1,1,2010-06-09T20:00:00,1,2009-10,240,25,1,82,1,1,2009-09-14T22:00:00,2010-04-11T20:00:00,0,92,2009-10-01T19:00:00,0,0,89,1230,0
20082009,1,1,1,2009-06-12T20:00:00,1,2008-09,240,25,1,82,0,1,2008-09-20T19:00:00,2009-04-12T17:00:00,0,91,2008-10-04T18:00:00,0,0,87,1230,0
20072008,1,1,1,2008-06-04T20:00:00,1,2007-08,240,25,1,82,0,1,2007-09-13T22:00:00,2008-04-06T20:00:00,0,90,2007-09-29T17:00:00,0,0,85,1230,0
