birthCity,birthCountryCode,birthDate,birthStateProvinceCode,currentTeamAbbrev,currentTeamName,draftOverall,draftRound,draftYear,firstSeasonForGameType,height,isInHallOfFameYn,lastName,nationalityCode,playerId,positionCode,shootsCatches,skaterFullName,weight
Barrie,CAN,1985-03-09,ON,COL,Colorado Avalanche,20.0,1.0,2003.0,20032004,77.0,N,Burns,CAN,8470613,D,R,Brent Burns,228.0
Peterborough,CAN,1985-05-16,ON,LAK,Los Angeles Kings,28.0,1.0,2003.0,20052006,75.0,N,Perry,CAN,8470621,R,R,Corey Perry,210.0
Moscow,RUS,1985-09-17,,WSH,Washington Capitals,1.0,1.0,2004.0,20052006,75.0,N,Ovechkin,RUS,8471214,L,R,Alex Ovechkin,238.0
Magnitogorsk,RUS,1986-07-31,,PIT,Pittsburgh Penguins,2.0,1.0,2004.0,20062007,77.0,N,Malkin,RUS,8471215,C,L,Evgeni Malkin,211.0
Cole Harbour,CAN,1987-08-07,NS,PIT,Pittsburgh Penguins,1.0,1.0,2005.0,20052006,71.0,N,Crosby,CAN,8471675,C,L,Sidney Crosby,206.0
Jesenice,SVN,1987-08-24,,,,11.0,1.0,2005.0,20062007,75.0,N,Kopitar,SVN,8471685,C,L,Anze Kopitar,225.0
Montréal,CAN,1987-04-24,QC,PIT,Pittsburgh Penguins,62.0,3.0,2005.0,20062007,72.0,N,Letang,CAN,8471724,D,R,Kris Letang,199.0
Winnipeg,CAN,1987-01-20,MB,,,156.0,5.0,2005.0,20102011,74.0,N,Reaves,CAN,8471817,R,R,Ryan Reaves,225.0
Halifax,CAN,1988-05-11,NS,FLA,Florida Panthers,71.0,3.0,2006.0,20092010,69.0,N,Marchand,CAN,8473419,L,L,Brad Marchand,180.0
Buffalo,USA,1987-10-31,NY,MIN,Minnesota Wild,28.0,1.0,2006.0,20072008,72.0,N,Foligno,USA,8473422,L,L,Nick Foligno,210.0
Ann Arbor,USA,1987-12-09,MI,,,45.0,2.0,2006.0,20102011,75.0,N,Petry,USA,8473507,D,R,Jeff Petry,208.0
Hearst,CAN,1988-01-12,ON,OTT,Ottawa Senators,22.0,1.0,2006.0,20072008,71.0,N,Giroux,CAN,8473512,R,R,Claude Giroux,186.0
Thunder Bay,CAN,1988-09-10,ON,CAR,Carolina Hurricanes,2.0,1.0,2006.0,20062007,76.0,N,Staal,CAN,8473533,C,L,Jordan Staal,220.0
Winnipeg,CAN,1988-04-29,MB,,,3.0,1.0,2006.0,20072008,74.0,N,Toews,CAN,8473604,C,L,Jonathan Toews,201.0
Halifax,CAN,1989-09-14,NS,ANA,Anaheim Ducks,77.0,3.0,2007.0,20122013,73.0,N,Killorn,CAN,8473986,L,L,Alex Killorn,205.0
Victoria,CAN,1989-07-18,BC,DAL,Dallas Stars,129.0,5.0,2007.0,20092010,75.0,N,Benn,CAN,8473994,L,L,Jamie Benn,210.0
Ann Arbor,USA,1989-02-21,MI,CHI,Chicago Blackhawks,18.0,1.0,2007.0,20102011,73.0,N,Cole,USA,8474013,D,L,Ian Cole,237.0
Middletown,USA,1989-05-04,NJ,,,2.0,1.0,2007.0,20092010,75.0,N,van Riemsdyk,USA,8474037,L,L,James van Riemsdyk,210.0
Mimico,CAN,1989-02-08,ON,,,27.0,1.0,2007.0,20112012,74.0,N,Smith,CAN,8474090,D,L,Brendan Smith,200.0
Sherbrooke,CAN,1988-05-28,QC,,,26.0,1.0,2007.0,20072008,72.0,N,Perron,CAN,8474102,L,R,David Perron,202.0
Buffalo,USA,1988-11-19,NY,CHI,Chicago Blackhawks,1.0,1.0,2007.0,20072008,70.0,N,Kane,USA,8474141,R,L,Patrick Kane,176.0
Chelyabinsk,RUS,1989-03-12,,,,71.0,3.0,2007.0,20092010,71.0,N,Dadonov,RUS,8474149,L,L,Evgenii Dadonov,188.0
Vasteras,SWE,1989-03-17,,CGY,Calgary Flames,24.0,1.0,2007.0,20082009,72.0,N,Backlund,SWE,8474150,C,L,Mikael Backlund,206.0
St. Paul,USA,1989-06-13,MN,TBL,Tampa Bay Lightning,12.0,1.0,2007.0,20102011,73.0,N,McDonagh,USA,8474151,D,L,Ryan McDonagh,218.0
