assists,birthCity,birthCountryCode,birthDate,birthStateProvinceCode,currentTeamAbbrev,currentTeamName,draftOverall,draftRound,draftYear,firstSeasonForGameType,gamesPlayed,goals,height,isInHallOfFameYn,lastName,nationalityCode,playerId,points,positionCode,shootsCatches,skaterFullName,weight
0,St. Lambert,CAN,1893-02-15,ON,,,,,,19171918,4,1,71,N,Stevens,CAN,8449181,1,C,R,Phil Stevens,165
0,Oakengates,GBR,1881-05-29,,,,,,,19171918,1,0,70,N,Thompson,GBR,8449231,0,L,L,Ken Thompson,160
10,Pembroke,CAN,1890-02-06,ON,,,,,,19171918,21,17,70,Y,Cameron,CAN,8445314,27,D,R,Harry Cameron,155
8,Ottawa,CAN,1890-02-22,ON,,,,,,19171918,20,13,69,Y,Gerard,CAN,8446581,21,L,L,Eddie Gerard,168
1,Belleville,CAN,1879-07-27,ON,,,,,,19171918,18,2,71,Y,Laviolette,CAN,8447348,3,D,R,Jack Laviolette,170
8,Valleyfield,CAN,1883-09-01,QC,,,,,,19171918,20,17,71,Y,Pitre,CAN,8448154,25,R,R,Didier Pitre,185
5,Toronto,CAN,1896-01-26,ON,,,,,,19171918,20,13,70,N,Skinner,CAN,8449049,18,R,R,Alf Skinner,180
7,Penetanguishene,CAN,1894-02-09,ON,,,,,,19171918,21,8,71,N,Corbeau,CAN,8445571,15,D,R,Bert Corbeau,200
8,Ottawa,CAN,1886-02-12,ON,,,,,,19171918,18,3,72,N,Shore,CAN,8449025,11,D,L,Hamby Shore,175
0,Rockland,CAN,1887-12-12,ON,,,,,,19171918,1,0,66,N,Payer,CAN,8448119,0,C,L,Evariste Payer,150
4,Quebec City,CAN,1890-02-28,QC,,,,,,19171918,20,44,70,Y,Malone,CAN,8447594,48,C,L,Joe Malone,150
2,Kingston,CAN,1887-12-14,ON,,,,,,19171918,21,12,70,N,Randall,CAN,8448246,14,R,R,Ken Randall,180
8,Pembroke,CAN,1893-01-26,ON,,,,,,19171918,10,11,69,Y,Nighbor,CAN,8448011,19,C,R,Frank Nighbor,160
7,Staffordshire,GBR,1882-05-03,,,,,,,19171918,21,8,70,Y,Hall,GBR,8446669,15,D,R,Joe Hall,175
8,Ottawa,CAN,1896-08-19,ON,,,,,,19171918,21,9,69,Y,Boucher,CAN,8445135,17,D,L,George Boucher,169
0,Holyoke,USA,1896-08-03,MA,,,,,,19171918,4,0,69,N,Geran,USA,8446580,0,C,R,Gerry Geran,180
0,Ottawa,CAN,1885-11-30,ON,,,,,,19171918,4,0,69,N,Merrill,CAN,8447848,0,D,L,Horace Merrill,176
2,Quebec City,CAN,1887-02-28,QC,,,,,,19171918,13,12,70,N,McDonald,CAN,8447761,14,L,R,Jack McDonald,154
0,Fort William,CAN,1895-06-14,ON,,,,,,19171918,8,0,69,Y,Adams,CAN,8444861,0,C,R,Jack Adams,175
10,Farran's Point,CAN,1891-12-23,ON,,,,,,19171918,21,36,67,Y,Denneny,CAN,8445874,46,L,L,Cy Denneny,168
4,Cardinal,CAN,1885-11-07,ON,,,,,,19171918,20,3,71,Y,Crawford,CAN,8445802,7,L,L,Rusty Crawford,165
1,Manotick,CAN,1891-08-13,ON,,,,,,19171918,12,2,66,N,Lowrey,CAN,8447522,3,C,R,Ed Lowrey,160
5,Ottawa,CAN,1890-12-04,ON,,,,,,19171918,18,14,70,Y,Darragh,CAN,8445844,19,R,R,Jack Darragh,168
0,Montréal,CAN,1891-06-08,QC,,,,,,19171918,4,0,68,N,O'Grady,CAN,8448052,0,D,L,George O'Grady,175
0,Lachine,CAN,1891-06-10,QC,,,,,,19171918,9,1,70,N,Bell,CAN,8445044,1,C,R,Billy Bell,180
3,Chicago,USA,1889-08-25,IL,,,,,,19171918,18,3,71,N,Mummery,USA,8447907,6,D,L,Harry Mummery,220
3,Montréal,CAN,1892-01-12,QC,,,,,,19171918,17,9,67,N,Ritchie,CAN,8448336,12,D,R,Dave Ritchie,180
2,Montréal,CAN,1889-01-02,QC,,,,,,19171918,17,14,66,Y,Hyland,CAN,8447013,16,R,R,Harry Hyland,156
9,Berlin,CAN,1894-11-04,ON,,,,,,19171918,21,11,67,N,Meeking,CAN,8447832,20,L,L,Harry Meeking,160
10,Collingwood,CAN,1896-06-23,ON,,,,,,19171918,20,29,68,Y,Noble,CAN,8448013,39,C,L,Reg Noble,180
0,Douro,CAN,1892-06-06,ON,,,,,,19171918,6,2,70,N,Coughlin,CAN,8445740,2,R,R,Jack Coughlin,170
0,Cambridge,USA,1889-09-26,MA,,,,,,19171918,1,0,70,N,Skilton,USA,8449048,0,D,R,Raymie Skilton,190
1,Papineau,CAN,1887-05-26,QC,,,,,,19171918,20,2,71,N,Berlinquette,CAN,8445071,3,L,L,Louis Berlinquette,175
7,Cornwall,CAN,1888-10-31,ON,,,,,,19171918,14,23,69,Y,Lalonde,CAN,8447289,30,C,R,Newsy Lalonde,168
0,North Gower,CAN,1894-03-07,ON,,,,,,19171918,7,0,69,N,Bruce,CAN,8445191,0,D,R,Morley Bruce,170
2,North Bay,CAN,1892-03-01,ON,,,,,,19171918,20,2,71,N,Coutu,CAN,8445744,4,D,L,Billy Coutu,190
