assists,evGoals,evPoints,faceoffWinPct,gameWinningGoals,gamesPlayed,goals,lastName,otGoals,penaltyMinutes,playerId,plusMinus,points,pointsPerGame,positionCode,ppGoals,ppPoints,shGoals,shPoints,shootingPct,shootsCatches,shots,skaterFullName,timeOnIcePerGame
4,,,,0,32,2,Harris,0,20,8444850,,6,0.1875,R,,,,,,L,,Henry Harris,
0,,,,0,3,0,Spence,0,0,8444851,,0,0.0,L,,,,,,L,,Gordon Spence,
2,5.0,7.0,,0,33,5,Hudson,0,2,8444852,,7,0.21212,R,0.0,0.0,0.0,0.0,,R,,Ron Hudson,
20,5.0,25.0,,0,61,5,Johnson,0,41,8444853,,25,0.40983,C,0.0,0.0,0.0,0.0,,L,,Norm Johnson,
0,0.0,0.0,,0,3,0,Abbott,0,0,8444854,,0,0.0,C,0.0,0.0,0.0,0.0,,L,,Reg Abbott,
18,1.0,2.0,,5,333,20,Abel,1,365,8444855,,38,0.11411,D,0.0,0.0,1.0,1.0,,L,,Clarence Abel,
0,0.0,0.0,,0,1,0,Abel,0,0,8444856,0.0,0,0.0,L,0.0,0.0,0.0,0.0,,L,0.0,Gerry Abel,
284,138.0,349.0,,25,612,188,Abel,2,376,8444857,,472,0.77124,C,49.0,120.0,1.0,3.0,,L,,Sid Abel,
5,3.0,8.0,,0,32,3,Achtymichuk,0,2,8444858,,8,0.25,C,0.0,0.0,0.0,0.0,,L,,Gene Achtymichuk,
1,0.0,1.0,,0,2,0,Acomb,0,0,8444859,1.0,1,0.5,C,0.0,0.0,0.0,0.0,,L,0.0,Doug Acomb,
1,0.0,1.0,,0,4,0,Adam,0,0,8444860,,1,0.25,L,0.0,0.0,0.0,0.0,,L,,Doug Adam,
44,,,,12,173,81,Adams,1,384,8444861,,125,0.72254,C,,,,,,R,,Jack Adams,
12,5.0,17.0,,0,42,6,Adams,0,9,8444862,,18,0.42857,L,1.0,1.0,0.0,0.0,,L,,John Adams,
26,,,,1,93,9,Adams,0,70,8444863,,35,0.37634,L,,,,,,L,,Stew Adams,
0,0.0,0.0,,0,1,0,Ahlin,0,0,8444864,,0,0.0,L,0.0,0.0,0.0,0.0,,L,,Rudy Ahlin,
3,0.0,3.0,,0,52,0,Ahrens,0,84,8444865,-26.0,3,0.05769,D,0.0,0.0,0.0,0.0,0.0,R,26.0,Chris Ahrens,
0,0.0,0.0,,0,3,0,Ailsby,0,2,8444866,,0,0.0,D,0.0,0.0,0.0,0.0,,L,,Lloyd Ailsby,
5,10.0,12.0,,1,59,14,Albright,0,19,8444867,,19,0.32203,C,4.0,7.0,0.0,0.0,,L,,Clint Albright,
56,40.0,90.0,,6,226,41,Aldcorn,0,78,8444868,11.0,97,0.4292,L,1.0,6.0,0.0,1.0,,L,233.0,Gary Aldcorn,
47,10.0,42.0,,1,155,18,Alexander,0,36,8444869,1.0,65,0.41935,D,8.0,23.0,0.0,0.0,0.0596,R,302.0,Claire Alexander,
2,,,,0,11,0,Alexandre,0,0,8444870,,2,0.18181,L,,,,,,R,,Art Alexandre,
115,66.0,161.0,,15,340,82,Allen,2,181,8444871,,197,0.57941,L,14.0,34.0,2.0,2.0,,L,,George Allen,
0,0.0,0.0,,0,4,0,Allan,0,2,8444872,0.0,0,0.0,D,0.0,0.0,0.0,0.0,0.0,L,5.0,Jeff Allan,
4,0.0,4.0,,0,28,0,Allen,0,6,8444873,,4,0.14285,D,0.0,0.0,0.0,0.0,,L,,Keith Allen,
1,0.0,1.0,,0,11,0,Allen,0,0,8444874,,1,0.0909,R,0.0,0.0,0.0,0.0,,R,,Viv Allen,
1,0.0,1.0,,0,1,0,Allum,0,0,8444875,,1,1.0,D,0.0,0.0,0.0,0.0,,L,,Bill Allum,
11,4.0,12.0,,1,126,5,Amadio,0,163,8444876,-34.0,16,0.12698,D,1.0,3.0,0.0,1.0,,R,162.0,Dave Amadio,
0,0.0,0.0,,0,13,0,Anderson,0,6,8444878,,0,0.0,D,0.0,0.0,0.0,0.0,,L,,Dale Anderson,
19,17.0,34.0,,5,109,19,Anderson,0,22,8444882,-4.0,38,0.34862,R,2.0,4.0,0.0,0.0,0.12258,R,155.0,Earl Anderson,
2,0.0,1.0,,0,13,0,Abgrall,0,4,8444890,-7.0,2,0.15384,R,0.0,1.0,0.0,0.0,0.0,R,9.0,Dennis Abgrall,
11,2.0,10.0,,1,32,6,Abrahamsson,0,16,8444892,-3.0,17,0.53125,D,4.0,7.0,0.0,0.0,0.0909,L,66.0,Thommy Abrahamsson,
1,0.0,1.0,,0,81,0,Agnew,0,257,8444893,-9.0,1,0.01234,D,0.0,0.0,0.0,0.0,0.0,L,32.0,Jim Agnew,
388,226.0,487.0,0.50912,31,1056,355,Adams,0,321,8444894,-48.0,743,0.70359,L,122.0,238.0,7.0,18.0,0.15268,L,2325.0,Greg Adams,
2,1.0,3.0,,0,8,1,Adam,0,11,8444896,-3.0,3,0.375,C,0.0,0.0,0.0,0.0,0.25,L,4.0,Russ Adam,
358,182.0,464.0,,29,1023,226,Acton,0,1172,8444897,-28.0,584,0.57086,C,33.0,97.0,11.0,23.0,0.13364,L,1691.0,Keith Acton,
143,73.0,191.0,,5,544,84,Adams,0,1173,8444898,0.0,227,0.41727,L,11.0,36.0,0.0,0.0,0.12051,L,697.0,Greg Adams,
0,0.0,0.0,,0,4,0,Adduono,0,2,8444899,-2.0,0,0.0,C,0.0,0.0,0.0,0.0,0.0,L,1.0,Rick Adduono,
66,10.0,59.0,,2,280,14,Affleck,0,86,8444905,-82.0,80,0.28571,D,4.0,18.0,0.0,3.0,0.03804,L,368.0,Bruce Affleck,
30,24.0,44.0,,6,146,31,Ahern,0,130,8444908,-47.0,61,0.4178,R,7.0,17.0,0.0,0.0,0.12601,R,246.0,Fred Ahern,
3,3.0,6.0,,0,15,3,Alley,0,11,8444912,-3.0,6,0.4,L,0.0,0.0,0.0,0.0,0.2,L,15.0,Steve Alley,
93,55.0,131.0,,5,238,64,Allison,0,223,8444913,50.0,157,0.65966,R,9.0,26.0,0.0,0.0,0.14065,R,455.0,Ray Allison,
