id,country3Code,stateProvinceName
BC,CAN,British Columbia
NS,CAN,Nova Scotia
YT,CAN,Yukon Territory
SK,CAN,Saskatchewan
PE,CAN,Prince Edward Island
NU,CAN,Nunavut
AB,CAN,Alberta
NL,CAN,Newfoundland and Labrador
NT,CAN,Northwest Territories
MB,CAN,Manitoba
QC,CAN,Quebec
NB,CAN,New Brunswick
ON,CAN,Ontario
WV,USA,West Virginia
NH,USA,New Hampshire
NJ,USA,New Jersey
WY,USA,Wyoming
UT,USA,Utah
TX,USA,Texas
GA,USA,Georgia
PR,USA,Puerto Rico
MD,USA,Maryland
RI,USA,Rhode Island
DE,USA,Delaware
FL,USA,Florida
AS,USA,American Samoa
KS,USA,Kansas
WA,USA,Washington
OK,USA,Oklahoma
LA,USA,Louisiana
AL,USA,Alabama
CT,USA,Connecticut
WI,USA,Wisconsin
SD,USA,South Dakota
PA,USA,Pennsylvania
OR,USA,Oregon
AZ,USA,Arizona
CO,USA,Colorado
AR,USA,Arkansas
NC,USA,North Carolina
ND,USA,North Dakota
VT,USA,Vermont
NM,USA,New Mexico
IN,USA,Indiana
MI,USA,Michigan
IL,USA,Illinois
VA,USA,Virginia
NV,USA,Nevada
SC,USA,South Carolina
MP,USA,Northern Mariana Islands
MA,USA,Massachusetts
ME,USA,Maine
MS,USA,Mississippi
HI,USA,Hawaii
KY,USA,Kentucky
ID,USA,Idaho
MO,USA,Missouri
MN,USA,Minnesota
NY,USA,New York
DC,USA,District of Columbia
NE,USA,Nebraska
AK,USA,Alaska
OH,USA,Ohio
IA,USA,Iowa
TN,USA,Tennessee
CA,USA,California
MT,USA,Montana
