id,fullName,lastSeason,teamCommonName,teamPlaceName,firstSeason.id,lastSeason.id
32,Anaheim Ducks,,Ducks,Anaheim,19931994,
28,Arizona Coyotes,,Coyotes,Arizona,19791980,20232024.0
6,Boston Bruins,,Bruins,Boston,19241925,
8,Brooklyn Americans,,Americans,Brooklyn,19251926,19411942.0
19,Buffalo Sabres,,Sabres,Buffalo,19701971,
21,Calgary Flames,,Flames,Calgary,19721973,
26,Carolina Hurricanes,,Hurricanes,Carolina,19791980,
11,Chicago Blackhawks,,Blackhawks,Chicago,19261927,
13,Cleveland Barons,,Barons,Cleveland,19671968,19771978.0
27,Colorado Avalanche,,Avalanche,Colorado,19791980,
36,Columbus Blue Jackets,,Blue Jackets,Columbus,20002001,
15,Dallas Stars,,Stars,Dallas,19671968,
12,Detroit Red Wings,,Red Wings,Detroit,19261927,
25,Edmonton Oilers,,Oilers,Edmonton,19791980,
33,Florida Panthers,,Panthers,Florida,19931994,
4,Hamilton Tigers,,Tigers,Hamilton,19191920,19241925.0
14,Los Angeles Kings,,Kings,Los Angeles,19671968,
37,Minnesota Wild,,Wild,Minnesota,20002001,
7,Montreal Maroons,,Maroons,Montreal,19241925,19371938.0
2,Montreal Wanderers,,Wanderers,Montreal,19171918,19171918.0
1,Montréal Canadiens,,Canadiens,Montréal,19171918,
34,Nashville Predators,,Predators,Nashville,19981999,
23,New Jersey Devils,,Devils,New Jersey,19741975,
22,New York Islanders,,Islanders,New York,19721973,
10,New York Rangers,,Rangers,New York,19261927,
30,Ottawa Senators,,Senators,Ottawa,19921993,
16,Philadelphia Flyers,,Flyers,Philadelphia,19671968,
9,Philadelphia Quakers,,Quakers,Philadelphia,19251926,19301931.0
17,Pittsburgh Penguins,,Penguins,Pittsburgh,19671968,
29,San Jose Sharks,,Sharks,San Jose,19911992,
39,Seattle Kraken,,Kraken,Seattle,20212022,
18,St. Louis Blues,,Blues,St. Louis,19671968,
3,St. Louis Eagles,,Eagles,St. Louis,19171918,19341935.0
31,Tampa Bay Lightning,,Lightning,Tampa Bay,19921993,
5,Toronto Maple Leafs,,Maple Leafs,Toronto,19171918,
40,Utah Mammoth,,Mammoth,Utah,20242025,
20,Vancouver Canucks,,Canucks,Vancouver,19701971,
38,Vegas Golden Knights,,Golden Knights,Vegas,20172018,
24,Washington Capitals,,Capitals,Washington,19741975,
35,Winnipeg Jets,,Jets,Winnipeg,19992000,
